eventname,eventcategory,eventdescription,eventdate,eventstatus
Logout,Social,Description for event 929,2025-03-18,Archived
Login,Social,Description for event 931,2025-03-18,Archived
Checkout,Transactional,Description for event 932,2025-03-18,Active
Signup,Social,Description for event 933,2025-03-18,Archived
ProductView,Transactional,Description for event 934,2025-03-18,Active
AddToCart,Social,Description for event 935,2025-03-18,Archived
Logout,Transactional,Description for event 936,2025-03-18,Active
Subscription,Social,Description for event 937,2025-03-18,Archived
Signup,Transactional,Description for event 940,2025-03-18,Active
ProductView,Social,Description for event 941,2025-03-18,Archived
Login,Social,Description for event 945,2025-03-18,Archived
Checkout,Transactional,Description for event 946,2025-03-18,Active
Signup,Social,Description for event 947,2025-03-18,Archived
ProductView,Transactional,Description for event 948,2025-03-18,Active
AddToCart,Social,Description for event 949,2025-03-18,Archived
Logout,Transactional,Description for event 950,2025-03-18,Active
Subscription,Social,Description for event 951,2025-03-18,Archived
Login,Transactional,Description for event 952,2025-03-18,Active
AddToCart,Transactional,Description for event 956,2025-03-18,Active
Logout,Social,Description for event 957,2025-03-18,Archived
Checkout,Transactional,Description for event 960,2025-03-18,Active
Signup,Social,Description for event 961,2025-03-18,Archived
AddToCart,Social,Description for event 963,2025-03-18,Archived
Signup,Transactional,Description for event 968,2025-03-18,Active
AddToCart,Transactional,Description for event 970,2025-03-18,Active
Logout,Social,Description for event 971,2025-03-18,Archived
Subscription,Transactional,Description for event 972,2025-03-18,Active
ProductView,Transactional,Description for event 976,2025-03-18,Active
Subscription,Social,Description for event 979,2025-03-18,Archived
Signup,Transactional,Description for event 982,2025-03-18,Active
ProductView,Social,Description for event 983,2025-03-18,Archived
Logout,Social,Description for event 985,2025-03-18,Archived
Subscription,Transactional,Description for event 986,2025-03-18,Active
Signup,Social,Description for event 989,2025-03-18,Archived
Checkout,Social,Description for event 995,2025-03-18,Archived
Signup,Transactional,Description for event 996,2025-03-18,Active
Logout,Social,Description for event 999,2025-03-18,Archived
Subscription,Transactional,Description for event 1000,2025-03-18,Active
,,User makes a payment for an order,2025-03-17,Active
,,User searches for products or content,2025-03-17,Active
,,User writes a review for a product,2025-03-17,Active
Checkout,Social,Description for event 1,2025-03-18,Archived
Logout,Social,Description for event 5,2025-03-18,Archived
Checkout,Social,Description for event 1,2025-03-18,Archived
Logout,Social,Description for event 5,2025-03-18,Archived
Logout,Transactional,Description for event 12,2025-03-18,Active
Subscription,Social,Description for event 13,2025-03-18,Archived
Signup,Transactional,Description for event 16,2025-03-18,Active
AddToCart,Transactional,Description for event 18,2025-03-18,Active
Logout,Social,Description for event 19,2025-03-18,Archived
Login,Social,Description for event 21,2025-03-18,Archived
Checkout,Transactional,Description for event 22,2025-03-18,Active
Signup,Social,Description for event 23,2025-03-18,Archived
ProductView,Transactional,Description for event 24,2025-03-18,Active
AddToCart,Social,Description for event 25,2025-03-18,Archived
Login,Transactional,Description for event 28,2025-03-18,Active
AddToCart,Transactional,Description for event 32,2025-03-18,Active
Logout,Social,Description for event 33,2025-03-18,Archived
Checkout,Transactional,Description for event 36,2025-03-18,Active
Signup,Social,Description for event 37,2025-03-18,Archived
ProductView,Transactional,Description for event 38,2025-03-18,Active
AddToCart,Social,Description for event 39,2025-03-18,Archived
Subscription,Social,Description for event 41,2025-03-18,Archived
ProductView,Social,Description for event 45,2025-03-18,Archived
Checkout,Transactional,Description for event 50,2025-03-18,Active
ProductView,Transactional,Description for event 52,2025-03-18,Active
Subscription,Social,Description for event 55,2025-03-18,Archived
Login,Transactional,Description for event 56,2025-03-18,Active
Signup,Transactional,Description for event 58,2025-03-18,Active
ProductView,Social,Description for event 59,2025-03-18,Archived
Logout,Social,Description for event 61,2025-03-18,Archived
Checkout,Transactional,Description for event 64,2025-03-18,Active
ProductView,Transactional,Description for event 66,2025-03-18,Active
AddToCart,Social,Description for event 67,2025-03-18,Archived
Checkout,Social,Description for event 71,2025-03-18,Archived
AddToCart,Transactional,Description for event 74,2025-03-18,Active
Logout,Social,Description for event 75,2025-03-18,Archived
Login,Social,Description for event 77,2025-03-18,Archived
ProductView,Transactional,Description for event 80,2025-03-18,Active
Subscription,Social,Description for event 83,2025-03-18,Archived
Login,Transactional,Description for event 84,2025-03-18,Active
AddToCart,Transactional,Description for event 88,2025-03-18,Active
Login,Social,Description for event 91,2025-03-18,Archived
ProductView,Transactional,Description for event 94,2025-03-18,Active
AddToCart,Social,Description for event 95,2025-03-18,Archived
Login,Transactional,Description for event 98,2025-03-18,Active
Signup,Transactional,Description for event 100,2025-03-18,Active
ProductView,Social,Description for event 101,2025-03-18,Archived
AddToCart,Transactional,Description for event 102,2025-03-18,Active
Signup,Social,Description for event 107,2025-03-18,Archived
ProductView,Transactional,Description for event 108,2025-03-18,Active
Logout,Transactional,Description for event 110,2025-03-18,Active
Subscription,Social,Description for event 111,2025-03-18,Archived
Checkout,Social,Description for event 113,2025-03-18,Archived
ProductView,Social,Description for event 4000027,2025-03-18,Archived
Logout,Social,Description for event 4000029,2025-03-18,Archived
Subscription,Transactional,Description for event 4000030,2025-03-18,Active
Login,Transactional,Description for event 4000031,2025-03-18,Archived
Subscription,Social,Description for event 4000037,2025-03-18,Archived
Login,Social,Description for event 4000038,2025-03-18,Active
Signup,Transactional,Description for event 4000040,2025-03-18,Active
ProductView,Social,Description for event 4000041,2025-03-18,Archived
Logout,Transactional,Description for event 4000043,2025-03-18,Archived
Checkout,Transactional,Description for event 4000046,2025-03-18,Active
Signup,Social,Description for event 4000047,2025-03-18,Archived
ProductView,Transactional,Description for event 4000048,2025-03-18,Active
Logout,Transactional,Description for event 4000050,2025-03-18,Active
Checkout,Social,Description for event 4000053,2025-03-18,Archived
Signup,Transactional,Description for event 4000054,2025-03-18,Active
Logout,Social,Description for event 4000057,2025-03-18,Archived
Signup,Social,Description for event 4000061,2025-03-18,Archived
ProductView,Transactional,Description for event 4000062,2025-03-18,Active
AddToCart,Social,Description for event 4000063,2025-03-18,Archived
Logout,Transactional,Description for event 4000064,2025-03-18,Active
Checkout,Social,Description for event 4000067,2025-03-18,Archived
ProductView,Social,Description for event 4000069,2025-03-18,Archived
Subscription,Transactional,Description for event 4000072,2025-03-18,Active
Login,Transactional,Description for event 4000080,2025-03-18,Active
Logout,Social,Description for event 4000085,2025-03-18,Archived
Login,Social,Description for event 4000087,2025-03-18,Archived
Checkout,Transactional,Description for event 4000088,2025-03-18,Active
AddToCart,Social,Description for event 4000091,2025-03-18,Archived
Logout,Transactional,Description for event 4000092,2025-03-18,Active
Checkout,Social,Description for event 4000095,2025-03-18,Archived
AddToCart,Transactional,Description for event 4000098,2025-03-18,Active
Logout,Social,Description for event 4000099,2025-03-18,Archived
Subscription,Transactional,Description for event 4000100,2025-03-18,Active
Subscription,Social,Description for event 5000001,2025-03-18,Archived
AddToCart,Transactional,Description for event 5000006,2025-03-18,Active
Subscription,Transactional,Description for event 5000008,2025-03-18,Active
Checkout,Transactional,Description for event 5000010,2025-03-18,Active
Signup,Social,Description for event 5000011,2025-03-18,Archived
AddToCart,Social,Description for event 5000013,2025-03-18,Archived
Subscription,Social,Description for event 5000015,2025-03-18,Archived
Checkout,Social,Description for event 5000017,2025-03-18,Archived
Signup,Transactional,Description for event 5000018,2025-03-18,Active
ProductView,Social,Description for event 5000019,2025-03-18,Archived
AddToCart,Transactional,Description for event 5000020,2025-03-18,Active
Logout,Social,Description for event 5000021,2025-03-18,Archived
Subscription,Transactional,Description for event 5000022,2025-03-18,Active
Checkout,Transactional,Description for event 5000024,2025-03-18,Active
ProductView,Transactional,Description for event 5000026,2025-03-18,Active
Logout,Transactional,Description for event 5000028,2025-03-18,Active
Login,Transactional,Description for event 5000030,2025-03-18,Active
ProductView,Social,Description for event 5000033,2025-03-18,Archived
AddToCart,Transactional,Description for event 5000034,2025-03-18,Active
Logout,Social,Description for event 5000035,2025-03-18,Archived
Subscription,Transactional,Description for event 5000036,2025-03-18,Active
Checkout,Transactional,Description for event 5000038,2025-03-18,Active
Logout,Transactional,Description for event 5000042,2025-03-18,Active
Subscription,Social,Description for event 5000043,2025-03-18,Archived
Login,Transactional,Description for event 5000044,2025-03-18,Active
AddToCart,Transactional,Description for event 5000048,2025-03-18,Active
Logout,Social,Description for event 5000049,2025-03-18,Archived
Subscription,Transactional,Description for event 5000050,2025-03-18,Active
Login,Social,Description for event 5000051,2025-03-18,Archived
Logout,Transactional,Description for event 5000056,2025-03-18,Active
Subscription,Social,Description for event 5000057,2025-03-18,Archived
Checkout,Social,Description for event 5000059,2025-03-18,Archived
AddToCart,Transactional,Description for event 5000062,2025-03-18,Active
Logout,Social,Description for event 5000063,2025-03-18,Archived
Subscription,Transactional,Description for event 5000064,2025-03-18,Active
Login,Social,Description for event 5000065,2025-03-18,Archived
Logout,Transactional,Description for event 5000070,2025-03-18,Active
Checkout,Social,Description for event 5000073,2025-03-18,Archived
AddToCart,Transactional,Description for event 5000076,2025-03-18,Active
Signup,Social,Description for event 5000081,2025-03-18,Archived
AddToCart,Social,Description for event 5000083,2025-03-18,Archived
Logout,Transactional,Description for event 5000084,2025-03-18,Active
Subscription,Social,Description for event 5000085,2025-03-18,Archived
Login,Transactional,Description for event 5000086,2025-03-18,Active
Checkout,Social,Description for event 5000087,2025-03-18,Archived
Signup,Transactional,Description for event 5000088,2025-03-18,Active
ProductView,Social,Description for event 5000089,2025-03-18,Archived
Logout,Social,Description for event 5000091,2025-03-18,Archived
Subscription,Transactional,Description for event 5000092,2025-03-18,Active
Signup,Transactional,Description for event 114,2025-03-18,Active
ProductView,Social,Description for event 115,2025-03-18,Archived
Logout,Social,Description for event 117,2025-03-18,Archived
Subscription,Transactional,Description for event 118,2025-03-18,Active
Login,Social,Description for event 119,2025-03-18,Archived
Signup,Social,Description for event 121,2025-03-18,Archived
AddToCart,Social,Description for event 123,2025-03-18,Archived
Logout,Transactional,Description for event 124,2025-03-18,Active
Subscription,Social,Description for event 125,2025-03-18,Archived
Logout,Social,Description for event 131,2025-03-18,Archived
Subscription,Transactional,Description for event 132,2025-03-18,Active
Login,Social,Description for event 133,2025-03-18,Archived
Checkout,Transactional,Description for event 134,2025-03-18,Active
ProductView,Transactional,Description for event 136,2025-03-18,Active
Checkout,Social,Description for event 141,2025-03-18,Archived
Signup,Transactional,Description for event 142,2025-03-18,Active
ProductView,Social,Description for event 143,2025-03-18,Archived
AddToCart,Transactional,Description for event 144,2025-03-18,Active
Logout,Social,Description for event 145,2025-03-18,Archived
Subscription,Transactional,Description for event 146,2025-03-18,Active
Signup,Social,Description for event 149,2025-03-18,Archived
Subscription,Social,Description for event 153,2025-03-18,Archived
AddToCart,Transactional,Description for event 158,2025-03-18,Active
Logout,Social,Description for event 159,2025-03-18,Archived
Login,Social,Description for event 161,2025-03-18,Archived
Signup,Social,Description for event 163,2025-03-18,Archived
Logout,Transactional,Description for event 166,2025-03-18,Active
Subscription,Social,Description for event 167,2025-03-18,Archived
Checkout,Social,Description for event 169,2025-03-18,Archived
Signup,Transactional,Description for event 170,2025-03-18,Active
ProductView,Social,Description for event 171,2025-03-18,Archived
Logout,Social,Description for event 173,2025-03-18,Archived
Login,Social,Description for event 175,2025-03-18,Archived
Checkout,Transactional,Description for event 176,2025-03-18,Active
Signup,Social,Description for event 177,2025-03-18,Archived
AddToCart,Social,Description for event 179,2025-03-18,Archived
Subscription,Social,Description for event 181,2025-03-18,Archived
Login,Transactional,Description for event 182,2025-03-18,Active
Signup,Transactional,Description for event 184,2025-03-18,Active
ProductView,Social,Description for event 185,2025-03-18,Archived
Logout,Social,Description for event 187,2025-03-18,Archived
Login,Social,Description for event 189,2025-03-18,Archived
Checkout,Transactional,Description for event 190,2025-03-18,Active
Signup,Social,Description for event 191,2025-03-18,Archived
ProductView,Transactional,Description for event 192,2025-03-18,Active
AddToCart,Social,Description for event 193,2025-03-18,Archived
Logout,Transactional,Description for event 194,2025-03-18,Active
ProductView,Social,Description for event 199,2025-03-18,Archived
AddToCart,Transactional,Description for event 200,2025-03-18,Active
Login,Social,Description for event 203,2025-03-18,Archived
Checkout,Transactional,Description for event 204,2025-03-18,Active
ProductView,Transactional,Description for event 206,2025-03-18,Active
Checkout,Social,Description for event 211,2025-03-18,Archived
AddToCart,Transactional,Description for event 214,2025-03-18,Active
Logout,Social,Description for event 215,2025-03-18,Archived
Subscription,Transactional,Description for event 216,2025-03-18,Active
AddToCart,Social,Description for event 221,2025-03-18,Archived
Logout,Transactional,Description for event 222,2025-03-18,Active
Login,Transactional,Description for event 224,2025-03-18,Active
ProductView,Social,Description for event 227,2025-03-18,Archived
AddToCart,Transactional,Description for event 228,2025-03-18,Active
Logout,Social,Description for event 229,2025-03-18,Archived
Subscription,Transactional,Description for event 230,2025-03-18,Active
Login,Social,Description for event 231,2025-03-18,Archived
Checkout,Transactional,Description for event 232,2025-03-18,Active
ProductView,Transactional,Description for event 234,2025-03-18,Active
AddToCart,Social,Description for event 235,2025-03-18,Archived
Logout,Transactional,Description for event 236,2025-03-18,Active
Signup,Transactional,Description for event 240,2025-03-18,Active
ProductView,Social,Description for event 241,2025-03-18,Archived
Logout,Social,Description for event 243,2025-03-18,Archived
Login,Social,Description for event 245,2025-03-18,Archived
Checkout,Transactional,Description for event 246,2025-03-18,Active
Signup,Social,Description for event 247,2025-03-18,Archived
ProductView,Transactional,Description for event 248,2025-03-18,Active
AddToCart,Social,Description for event 249,2025-03-18,Archived
Logout,Transactional,Description for event 250,2025-03-18,Active
Subscription,Social,Description for event 251,2025-03-18,Archived
Login,Transactional,Description for event 252,2025-03-18,Active
Signup,Transactional,Description for event 254,2025-03-18,Active
ProductView,Social,Description for event 255,2025-03-18,Archived
AddToCart,Transactional,Description for event 256,2025-03-18,Active
Logout,Social,Description for event 257,2025-03-18,Archived
Login,Social,Description for event 259,2025-03-18,Archived
Checkout,Transactional,Description for event 260,2025-03-18,Active
ProductView,Transactional,Description for event 262,2025-03-18,Active
Logout,Transactional,Description for event 264,2025-03-18,Active
Login,Transactional,Description for event 266,2025-03-18,Active
Checkout,Social,Description for event 267,2025-03-18,Archived
Signup,Transactional,Description for event 268,2025-03-18,Active
ProductView,Social,Description for event 269,2025-03-18,Archived
AddToCart,Transactional,Description for event 270,2025-03-18,Active
Login,Social,Description for event 273,2025-03-18,Archived
Checkout,Transactional,Description for event 274,2025-03-18,Active
Signup,Social,Description for event 275,2025-03-18,Archived
Logout,Transactional,Description for event 278,2025-03-18,Active
Login,Transactional,Description for event 280,2025-03-18,Active
Signup,Transactional,Description for event 282,2025-03-18,Active
Login,Social,Description for event 287,2025-03-18,Archived
Checkout,Transactional,Description for event 288,2025-03-18,Active
Logout,Transactional,Description for event 292,2025-03-18,Active
Subscription,Social,Description for event 293,2025-03-18,Archived
Checkout,Social,Description for event 295,2025-03-18,Archived
ProductView,Social,Description for event 297,2025-03-18,Archived
Subscription,Transactional,Description for event 300,2025-03-18,Active
Login,Social,Description for event 301,2025-03-18,Archived
Checkout,Transactional,Description for event 302,2025-03-18,Active
Signup,Social,Description for event 303,2025-03-18,Archived
AddToCart,Social,Description for event 305,2025-03-18,Archived
Subscription,Social,Description for event 307,2025-03-18,Archived
Checkout,Social,Description for event 309,2025-03-18,Archived
Signup,Transactional,Description for event 310,2025-03-18,Active
AddToCart,Transactional,Description for event 312,2025-03-18,Active
Subscription,Transactional,Description for event 314,2025-03-18,Active
Login,Social,Description for event 315,2025-03-18,Archived
Checkout,Transactional,Description for event 316,2025-03-18,Active
Signup,Social,Description for event 317,2025-03-18,Archived
Logout,Transactional,Description for event 320,2025-03-18,Active
Login,Transactional,Description for event 322,2025-03-18,Active
Checkout,Social,Description for event 323,2025-03-18,Archived
Signup,Transactional,Description for event 324,2025-03-18,Active
ProductView,Social,Description for event 325,2025-03-18,Archived
AddToCart,Transactional,Description for event 326,2025-03-18,Active
AddToCart,Social,Description for event 333,2025-03-18,Archived
Subscription,Social,Description for event 335,2025-03-18,Archived
Signup,Transactional,Description for event 338,2025-03-18,Active
ProductView,Social,Description for event 339,2025-03-18,Archived
AddToCart,Transactional,Description for event 340,2025-03-18,Active
Logout,Social,Description for event 341,2025-03-18,Archived
Subscription,Transactional,Description for event 342,2025-03-18,Active
Checkout,Transactional,Description for event 344,2025-03-18,Active
ProductView,Transactional,Description for event 346,2025-03-18,Active
Logout,Transactional,Description for event 348,2025-03-18,Active
Checkout,Social,Description for event 351,2025-03-18,Archived
ProductView,Social,Description for event 353,2025-03-18,Archived
Logout,Social,Description for event 355,2025-03-18,Archived
Login,Social,Description for event 357,2025-03-18,Archived
Subscription,Social,Description for event 363,2025-03-18,Archived
ProductView,Social,Description for event 367,2025-03-18,Archived
AddToCart,Transactional,Description for event 368,2025-03-18,Active
Subscription,Transactional,Description for event 370,2025-03-18,Active
Login,Social,Description for event 371,2025-03-18,Archived
Checkout,Transactional,Description for event 372,2025-03-18,Active
Signup,Social,Description for event 373,2025-03-18,Archived
ProductView,Transactional,Description for event 374,2025-03-18,Active
AddToCart,Social,Description for event 375,2025-03-18,Archived
Login,Transactional,Description for event 378,2025-03-18,Active
AddToCart,Transactional,Description for event 382,2025-03-18,Active
Subscription,Transactional,Description for event 384,2025-03-18,Active
Checkout,Transactional,Description for event 386,2025-03-18,Active
Signup,Social,Description for event 387,2025-03-18,Archived
AddToCart,Social,Description for event 389,2025-03-18,Archived
Logout,Transactional,Description for event 390,2025-03-18,Active
Subscription,Social,Description for event 391,2025-03-18,Archived
Login,Transactional,Description for event 392,2025-03-18,Active
Checkout,Social,Description for event 393,2025-03-18,Archived
Logout,Social,Description for event 397,2025-03-18,Archived
Checkout,Transactional,Description for event 400,2025-03-18,Active
AddToCart,Social,Description for event 403,2025-03-18,Archived
Logout,Transactional,Description for event 404,2025-03-18,Active
Checkout,Social,Description for event 407,2025-03-18,Archived
Logout,Social,Description for event 411,2025-03-18,Archived
Subscription,Transactional,Description for event 412,2025-03-18,Active
Login,Social,Description for event 413,2025-03-18,Archived
Checkout,Transactional,Description for event 414,2025-03-18,Active
ProductView,Transactional,Description for event 416,2025-03-18,Active
Checkout,Social,Description for event 421,2025-03-18,Archived
ProductView,Social,Description for event 423,2025-03-18,Archived
AddToCart,Transactional,Description for event 424,2025-03-18,Active
Login,Social,Description for event 427,2025-03-18,Archived
ProductView,Transactional,Description for event 430,2025-03-18,Active
Logout,Transactional,Description for event 432,2025-03-18,Active
Subscription,Social,Description for event 433,2025-03-18,Archived
ProductView,Social,Description for event 437,2025-03-18,Archived
AddToCart,Transactional,Description for event 438,2025-03-18,Active
Subscription,Transactional,Description for event 440,2025-03-18,Active
ProductView,Transactional,Description for event 444,2025-03-18,Active
AddToCart,Social,Description for event 445,2025-03-18,Archived
Subscription,Social,Description for event 447,2025-03-18,Archived
Logout,Social,Description for event 453,2025-03-18,Archived
Login,Social,Description for event 455,2025-03-18,Archived
Signup,Social,Description for event 457,2025-03-18,Archived
ProductView,Transactional,Description for event 458,2025-03-18,Active
Subscription,Social,Description for event 461,2025-03-18,Archived
Login,Transactional,Description for event 462,2025-03-18,Active
Checkout,Social,Description for event 463,2025-03-18,Archived
Subscription,Transactional,Description for event 468,2025-03-18,Active
ProductView,Transactional,Description for event 472,2025-03-18,Active
AddToCart,Social,Description for event 473,2025-03-18,Archived
Logout,Transactional,Description for event 474,2025-03-18,Active
Login,Transactional,Description for event 476,2025-03-18,Active
ProductView,Social,Description for event 479,2025-03-18,Archived
AddToCart,Transactional,Description for event 480,2025-03-18,Active
Logout,Social,Description for event 481,2025-03-18,Archived
Checkout,Transactional,Description for event 484,2025-03-18,Active
Signup,Social,Description for event 485,2025-03-18,Archived
AddToCart,Social,Description for event 487,2025-03-18,Archived
Logout,Transactional,Description for event 488,2025-03-18,Active
Subscription,Social,Description for event 489,2025-03-18,Archived
ProductView,Social,Description for event 493,2025-03-18,Archived
Login,Social,Description for event 497,2025-03-18,Archived
AddToCart,Social,Description for event 501,2025-03-18,Archived
Subscription,Social,Description for event 503,2025-03-18,Archived
Login,Transactional,Description for event 504,2025-03-18,Active
Signup,Transactional,Description for event 506,2025-03-18,Active
AddToCart,Transactional,Description for event 508,2025-03-18,Active
Logout,Social,Description for event 509,2025-03-18,Archived
Checkout,Transactional,Description for event 512,2025-03-18,Active
Signup,Social,Description for event 513,2025-03-18,Archived
ProductView,Transactional,Description for event 514,2025-03-18,Active
AddToCart,Social,Description for event 515,2025-03-18,Archived
Subscription,Social,Description for event 517,2025-03-18,Archived
Login,Transactional,Description for event 518,2025-03-18,Active
Checkout,Social,Description for event 519,2025-03-18,Archived
ProductView,Social,Description for event 521,2025-03-18,Archived
Logout,Social,Description for event 523,2025-03-18,Archived
Login,Social,Description for event 525,2025-03-18,Archived
Checkout,Transactional,Description for event 526,2025-03-18,Active
Signup,Social,Description for event 527,2025-03-18,Archived
Logout,Transactional,Description for event 530,2025-03-18,Active
Subscription,Social,Description for event 531,2025-03-18,Archived
Login,Transactional,Description for event 532,2025-03-18,Active
Login,Social,Description for event 539,2025-03-18,Archived
Checkout,Transactional,Description for event 540,2025-03-18,Active
Signup,Social,Description for event 541,2025-03-18,Archived
ProductView,Transactional,Description for event 542,2025-03-18,Active
AddToCart,Social,Description for event 543,2025-03-18,Archived
Logout,Transactional,Description for event 544,2025-03-18,Active
Subscription,Social,Description for event 545,2025-03-18,Archived
Login,Transactional,Description for event 546,2025-03-18,Active
Checkout,Social,Description for event 547,2025-03-18,Archived
ProductView,Social,Description for event 549,2025-03-18,Archived
Subscription,Transactional,Description for event 552,2025-03-18,Active
Checkout,Transactional,Description for event 554,2025-03-18,Active
Signup,Social,Description for event 555,2025-03-18,Archived
ProductView,Transactional,Description for event 556,2025-03-18,Active
AddToCart,Social,Description for event 557,2025-03-18,Archived
Checkout,Social,Description for event 561,2025-03-18,Archived
Signup,Transactional,Description for event 562,2025-03-18,Active
ProductView,Social,Description for event 563,2025-03-18,Archived
Login,Social,Description for event 567,2025-03-18,Archived
Checkout,Transactional,Description for event 568,2025-03-18,Active
Subscription,Social,Description for event 573,2025-03-18,Archived
Login,Transactional,Description for event 574,2025-03-18,Active
Signup,Transactional,Description for event 576,2025-03-18,Active
ProductView,Social,Description for event 577,2025-03-18,Archived
Login,Social,Description for event 581,2025-03-18,Archived
ProductView,Transactional,Description for event 584,2025-03-18,Active
AddToCart,Social,Description for event 585,2025-03-18,Archived
Checkout,Social,Description for event 589,2025-03-18,Archived
ProductView,Social,Description for event 591,2025-03-18,Archived
Logout,Social,Description for event 593,2025-03-18,Archived
Subscription,Transactional,Description for event 594,2025-03-18,Active
Login,Social,Description for event 595,2025-03-18,Archived
Checkout,Transactional,Description for event 596,2025-03-18,Active
Signup,Social,Description for event 597,2025-03-18,Archived
ProductView,Transactional,Description for event 598,2025-03-18,Active
Subscription,Social,Description for event 601,2025-03-18,Archived
Signup,Transactional,Description for event 604,2025-03-18,Active
ProductView,Social,Description for event 605,2025-03-18,Archived
AddToCart,Transactional,Description for event 606,2025-03-18,Active
Subscription,Transactional,Description for event 608,2025-03-18,Active
Signup,Social,Description for event 611,2025-03-18,Archived
ProductView,Transactional,Description for event 612,2025-03-18,Active
AddToCart,Social,Description for event 613,2025-03-18,Archived
Logout,Transactional,Description for event 614,2025-03-18,Active
Login,Transactional,Description for event 616,2025-03-18,Active
Subscription,Transactional,Description for event 622,2025-03-18,Active
Signup,Social,Description for event 625,2025-03-18,Archived
ProductView,Transactional,Description for event 626,2025-03-18,Active
Login,Transactional,Description for event 630,2025-03-18,Active
ProductView,Social,Description for event 633,2025-03-18,Archived
AddToCart,Transactional,Description for event 634,2025-03-18,Active
Subscription,Transactional,Description for event 636,2025-03-18,Active
Login,Social,Description for event 637,2025-03-18,Archived
ProductView,Transactional,Description for event 640,2025-03-18,Active
Login,Transactional,Description for event 644,2025-03-18,Active
ProductView,Social,Description for event 647,2025-03-18,Archived
Logout,Social,Description for event 649,2025-03-18,Archived
Checkout,Transactional,Description for event 652,2025-03-18,Active
AddToCart,Social,Description for event 655,2025-03-18,Archived
Login,Transactional,Description for event 658,2025-03-18,Active
Checkout,Social,Description for event 659,2025-03-18,Archived
Signup,Transactional,Description for event 660,2025-03-18,Active
ProductView,Social,Description for event 661,2025-03-18,Archived
Logout,Social,Description for event 663,2025-03-18,Archived
Subscription,Transactional,Description for event 664,2025-03-18,Active
Login,Social,Description for event 665,2025-03-18,Archived
Checkout,Transactional,Description for event 666,2025-03-18,Active
ProductView,Transactional,Description for event 668,2025-03-18,Active
Logout,Transactional,Description for event 670,2025-03-18,Active
Signup,Transactional,Description for event 674,2025-03-18,Active
ProductView,Social,Description for event 675,2025-03-18,Archived
Subscription,Transactional,Description for event 678,2025-03-18,Active
Login,Social,Description for event 679,2025-03-18,Archived
Checkout,Transactional,Description for event 680,2025-03-18,Active
ProductView,Social,Description for event 689,2025-03-18,Archived
AddToCart,Transactional,Description for event 690,2025-03-18,Active
Checkout,Transactional,Description for event 694,2025-03-18,Active
ProductView,Transactional,Description for event 696,2025-03-18,Active
Logout,Transactional,Description for event 698,2025-03-18,Active
Checkout,Social,Description for event 701,2025-03-18,Archived
Logout,Social,Description for event 705,2025-03-18,Archived
Subscription,Transactional,Description for event 706,2025-03-18,Active
Login,Social,Description for event 707,2025-03-18,Archived
Checkout,Transactional,Description for event 708,2025-03-18,Active
ProductView,Transactional,Description for event 710,2025-03-18,Active
AddToCart,Social,Description for event 711,2025-03-18,Archived
Logout,Transactional,Description for event 712,2025-03-18,Active
Subscription,Social,Description for event 713,2025-03-18,Archived
Checkout,Social,Description for event 715,2025-03-18,Archived
ProductView,Social,Description for event 717,2025-03-18,Archived
AddToCart,Transactional,Description for event 718,2025-03-18,Active
Subscription,Transactional,Description for event 720,2025-03-18,Active
Login,Social,Description for event 721,2025-03-18,Archived
Signup,Social,Description for event 723,2025-03-18,Archived
ProductView,Transactional,Description for event 724,2025-03-18,Active
AddToCart,Social,Description for event 725,2025-03-18,Archived
Subscription,Social,Description for event 727,2025-03-18,Archived
Checkout,Social,Description for event 729,2025-03-18,Archived
ProductView,Social,Description for event 731,2025-03-18,Archived
AddToCart,Transactional,Description for event 732,2025-03-18,Active
Logout,Social,Description for event 733,2025-03-18,Archived
Subscription,Transactional,Description for event 734,2025-03-18,Active
ProductView,Transactional,Description for event 738,2025-03-18,Active
AddToCart,Social,Description for event 739,2025-03-18,Archived
Subscription,Social,Description for event 741,2025-03-18,Archived
Checkout,Social,Description for event 743,2025-03-18,Archived
ProductView,Social,Description for event 745,2025-03-18,Archived
Login,Social,Description for event 749,2025-03-18,Archived
ProductView,Transactional,Description for event 752,2025-03-18,Active
AddToCart,Social,Description for event 753,2025-03-18,Archived
Checkout,Social,Description for event 757,2025-03-18,Archived
Signup,Transactional,Description for event 758,2025-03-18,Active
AddToCart,Transactional,Description for event 760,2025-03-18,Active
Subscription,Transactional,Description for event 762,2025-03-18,Active
Login,Social,Description for event 763,2025-03-18,Archived
Checkout,Transactional,Description for event 764,2025-03-18,Active
Login,Transactional,Description for event 770,2025-03-18,Active
Signup,Transactional,Description for event 772,2025-03-18,Active
ProductView,Social,Description for event 773,2025-03-18,Archived
AddToCart,Transactional,Description for event 774,2025-03-18,Active
Logout,Social,Description for event 775,2025-03-18,Archived
Login,Social,Description for event 777,2025-03-18,Archived
Signup,Social,Description for event 779,2025-03-18,Archived
ProductView,Transactional,Description for event 780,2025-03-18,Active
AddToCart,Social,Description for event 781,2025-03-18,Archived
Logout,Transactional,Description for event 782,2025-03-18,Active
Subscription,Social,Description for event 783,2025-03-18,Archived
AddToCart,Transactional,Description for event 788,2025-03-18,Active
Checkout,Transactional,Description for event 792,2025-03-18,Active
Signup,Social,Description for event 793,2025-03-18,Archived
AddToCart,Social,Description for event 795,2025-03-18,Archived
Login,Transactional,Description for event 798,2025-03-18,Active
